State A,State A name,Conti-guity ,Shared river,Number shared rivers,Type of shared river,River(s),Length of river boundaries,Total length,Drainage basin(s),Size of basin in  km2,Total,Size of basin in state A,Total,Size of basin in state B,Total,Upstream State,Upstream State average,State B,State B name,Conti-guity start year,Conti-guity end year,,,,
2,USA,1,1,8,4,"St. Lawrence, 
Niagara River, Detroit River, 
St. Clair, Pigeon River, 
267,Baden,1,1,9,4,"Tauber, Jagst, Rems, Enz, Nagold, Murg, Kinzig, Neckar, Donau, Ach",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,A,B,A,A,A",2,271,Wuerttemburg,1816,1869,,,,
267,Baden,1,1,1,1,Neckar,0,0,Rhinen,168757,168757,0,0,0,0,A,1,275,Hesse Grand Ducal,1816,1866,,,,
269,Saxony,1,1,2,4,"Elbe, Neisse",0,0,0,0,0,0,0,0,0,"B,B",2,300,Austria-Hungary,1816,1866,,,,
273,Hesse Electoral,1,1,4,3,"Wetter, Schwalm, Ohm, Lahn",0,0,Rhinen,168757,168757,0,0,0,0,"B,B,B,A",2,275,Hesse Grand Ducal,1816,1865,,,,
290,Poland,1,1,6,4,"Belyy Cheremosh, Stryy, San, Dunajec, Proprad, Olse",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,A",2,315,Czechoslovakia,1919,1938,,,,
290,Poland,1,1,4,4,"Labe, Opava, Dunajec, Poprad","25, 15, 40, 25",105,"Wisla, Oder, Elbe","193000, 126000, 144500",463500,"175500, 103800, 800",280100,"2700, 9100, 49700",61500,"B,B,B,B",2,315,Czechoslovakia,1945,1992,,,,
290,Poland,1,1,2,4,"Labe, Opava","25, 15",40,"Oder, Elbe","126000, 144500",270500,"103800, 800",104600,"9100, 49700",588800,"B,B",2,316,The Czech Republic,1993,2016,,,,
290,Poland,1,1,2,4,"Dunajec, Poprad","40, 25",65,Wisla,193000,193000,175500,175500,2700,2700,"B,B",2,317,Slovakia,1993,2016,,,,
290,Poland,1,1,2,4,"Siret, Belyy Cheremosh",0,0,0,0,0,0,0,0,0,"A,A",1,360,Romania,1919,1938,,,,
290,Poland,1,1,4,4,"Disna, Berezing, Pripyat, Dnestr",0,0,0,0,0,0,0,0,0,"B,B,B,B",2,365,Russia (USSR),1919,1938,,,,
290,Poland,1,1,2,2,"Bug, San","265, 35",300,Wisla,193000,193000,175500,175500,14800,14800,B,2,365,Russia (USSR),1945,2016,,,,
